epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.21230115,4.562914848,0.004852228,0.238443032,4.372719765
1,0.214364663,4.543770313,0.004708823,0.240643233,4.350823402
2,0.216472343,4.527636051,0.004569657,0.242216915,4.338866711
3,0.217544571,4.514026165,0.004434603,0.243678823,4.329769611
4,0.219283536,4.501691341,0.004303541,0.245508403,4.315635681
5,0.220249802,4.490797997,0.004176352,0.247073248,4.306826115
6,0.221812889,4.479917526,0.004052923,0.247708604,4.295658588
7,0.222400889,4.470431328,0.003933141,0.248835191,4.287436008
8,0.223397315,4.461569786,0.003816899,0.249108747,4.281069279
9,0.224377558,4.453321934,0.003704093,0.250891268,4.271944046
10,0.224857375,4.450397968,0.003594621,0.251847237,4.264331818
11,0.225882515,4.441810131,0.003488384,0.251488388,4.262225628
12,0.226726606,4.435135365,0.003385287,0.252253145,4.256987572
13,0.227134302,4.429175377,0.003285237,0.254571021,4.244554043
14,0.227743641,4.423116207,0.003188144,0.254715145,4.242049217
15,0.228457481,4.417845249,0.00309392,0.255279899,4.240633965
16,0.229824081,4.41143465,0.003002481,0.256174117,4.23170042
17,0.229750499,4.407383442,0.002913744,0.256941825,4.227476597
18,0.230519533,4.402674198,0.00282763,0.25738892,4.224259377
19,0.231073678,4.397089005,0.002744061,0.257738978,4.217516422
20,0.231497556,4.393344879,0.002662962,0.259159684,4.210772991
21,0.232101753,4.389298916,0.00258426,0.259756804,4.209288597
22,0.232557282,4.38449192,0.002507883,0.259324402,4.207077503
23,0.232983381,4.382015705,0.002433764,0.259597957,4.203477859
24,0.233438179,4.377885818,0.002361835,0.259036154,4.204684734
25,0.233736962,4.374206543,0.002292033,0.260765731,4.196946621
26,0.234422833,4.37114954,0.002224293,0.260933369,4.194990158
27,0.234623745,4.367591858,0.002158555,0.261439323,4.190421104
28,0.234972566,4.363046646,0.002094761,0.261857003,4.191626072
29,0.235433981,4.361975193,0.002032851,0.261651099,4.190694809
30,0.236033022,4.357804775,0.001972771,0.262248218,4.183959007
31,0.235877007,4.35504961,0.001914467,0.262159973,4.182712555
32,0.236154452,4.353318214,0.001857886,0.262998283,4.178915501
